Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
U.A.E.,140,"13,684,429",,
Israel,117,"10,618,819",60,57
Malta,115,"576,256",67,50
Bahrain,114,"1,876,554",62,52
Aruba,112,"119,395",61,51
Mongolia,109,"3,528,572",59,51
Chile,107,"20,223,473",61,47
U.K.,105,"70,253,625",61,44
Curaçao,102,"160,585",55,47
Qatar,98,"2,768,028",56,42
Hungary,96,"9,424,351",54,42
Uruguay,93,"3,224,002",60,33
United States,92,"306,509,795",52,43
Maldives,92,"489,415",59,33
Iceland,88,"317,082",59,36
Singapore,77,"4,392,067",44,33
Canada,75,"28,240,474",64,11
Belgium,71,"8,175,324",47,25
Germany,71,"59,038,531",48,25
Serbia,70,"4,882,120",38,32
Denmark,70,"4,066,856",45,25
Lithuania,69,"1,933,826",42,28
Spain,69,"32,282,553",45,26
Italy,69,"41,310,662",47,23
Luxembourg,68,"423,029",42,26
Austria,68,"6,043,642",46,23
Switzerland,67,"5,785,134",42,26
Netherlands,66,"11,395,454",45,23
Portugal,65,"6,713,043",43,23
France,64,"43,204,513",45,21
Bhutan,63,"482,716",63,
Poland,62,"23,628,450",40,24
Greece,62,"6,665,626",39,25
Slovenia,62,"1,294,610",36,26
Finland,62,"3,421,475",50,12
Mainland China,62,"863,513,000",,
Norway,61,"3,254,587",36,25
Estonia,61,"806,585",39,22
Czech Republic,60,"6,436,606",42,19
Sweden,60,"6,151,465",40,20
Cyprus,57,"681,219",35,22
Dominican Rep.,56,"6,050,983",39,17
Slovakia,54,"2,934,355",34,20
Barbados,51,"147,036",30,22
Croatia,50,"2,042,889",34,16
Latvia,49,"935,992",29,21
Ireland,48,"2,387,348",36,
Saudi Arabia,46,"15,605,844",,
Morocco,45,"16,409,704",26,19
Romania,44,"8,425,239",23,21
Kuwait,43,"1,820,000",,
Montenegro,42,"259,428",23,19
French Polynesia,41,"115,739",23,19
Turkey,39,"32,952,991",23,16
Hong Kong,38,"2,837,427",22,16
Costa Rica,38,"1,906,177",24,14
Guyana,38,"294,053",27,10
Macau,38,"237,236",26,12
Brazil,36,"76,758,587",25,11
Mauritius,36,"455,242",20,16
Argentina,35,"15,730,223",28,7.10
El Salvador,35,"2,231,365",20,14
New Caledonia,34,"98,747",19,16
Cambodia,31,"5,128,310",17,14
Albania,29,"823,053",17,11
Tonga,29,"29,980",27,1.30
Mexico,29,"36,430,953",20,12
Cuba,28,"3,128,573",16,2.70
South Korea,28,"14,261,118",22,5.60
Panama,27,"1,164,396",18,9.60
Saint Lucia,27,"49,735",16,11
Azerbaijan,27,"2,702,023",17,9.50
Fiji,25,"223,429",25,0.50
Jordan,25,"2,515,652",19,6.10
Colombia,24,"12,206,104",17,7.10
Grenada,24,"26,975",16,8.00
Bulgaria,22,"1,568,793",13,10.00
Russia,22,"32,267,143",13,9.70
Australia,22,"5,641,008",20,2.60
North Macedonia,21,"431,174",12,8.50
Saint Vincent and the Grenadines,21,"22,746",,
Belize,21,"80,121",17,3.10
Kazakhstan,20,"3,714,092",13,7.00
Moldova,20,"522,848",14,5.30
Samoa,19,"38,361",19,
Suriname,19,"112,200",15,3.80
India,18,"243,703,242",14,3.40
Equatorial Guinea,17,"236,189",11,6.50
Japan,17,"21,408,125",13,4.30
Bolivia,17,"1,940,095",13,3.90
Ecuador,16,"2,788,245",11,5.20
Bahamas,16,"62,183",12,3.50
New Zealand,16,"775,444",10,5.60
Peru,15,"4,946,221",10,5.10
Laos,15,"1,079,903",9.90,5.20
Brunei,14,"61,225",11,2.60
Lebanon,14,"963,223",9.40,4.60
West Bank & Gaza,13,"607,832",8.00,5.00
Malaysia,13,"4,102,936",8.90,4.00
Sri Lanka,12,"2,544,373",9.90,1.80
Indonesia,12,"31,195,606",7.30,4.30
Trinidad and Tobago,11,"159,709",11,0.70
São Tomé and Príncipe,11,"23,644",5.80,5.20
Tunisia,11,"1,252,125",7.70,3.00
Nepal,10,"2,936,113",7.80,2.40
Comoros,9.9,"84,360",5.10,4.80
Belarus,9.8,"924,926",6.50,3.30
Thailand,8.1,"5,667,058",6.00,2.20
Zimbabwe,7.4,"1,089,506",4.70,2.70
Timor-Leste,7.2,"93,169",7.20,0
Cape Verde,7.1,"39,211",6.60,0.50
Bosnia and Herzegovina,7,"232,706",5.70,1.30
Georgia,6.7,"249,268",5.10,1.60
Botswana,6.5,"150,019",6.50,
Uzbekistan,6.4,"2,136,423",,
Bangladesh,6.2,"10,058,643",3.60,2.60
Jamaica,6,"177,889",5.30,0.80
Oman,6,"296,894",4.40,1.60
Paraguay,6,"419,925",4.50,1.50
Philippines,5.8,"6,314,548",4.30,1.60
Algeria,5.8,"2,500,000",5.80,
Myanmar,5.5,"2,994,900",3.30,2.30
Iran,5.5,"4,553,653",4.70,0.80
Libya,4.7,"317,809",4.70,
Honduras,4.6,"447,023",4.00,0.60
Pakistan,4.4,"9,559,910",3.40,1.20
Togo,4.3,"347,246",3.40,0.90
Ghana,4,"1,228,216",2.80,1.20
Guatemala,3.9,"647,339",3.10,0.80
Namibia,3.9,"96,433",3.30,0.50
Angola,3.8,"1,222,630",2.40,1.40
Ukraine,3.7,"1,661,410",3.20,0.50
Taiwan,3.4,"799,129",3.40,
Senegal,3.3,"545,915",2.90,0.40
Egypt,3.3,"3,340,216",2.80,0.50
Rwanda,3.2,"400,096",2.80,0.40
Eswatini,3.1,"35,227",3.10,
Guinea,3,"384,974",2.30,0.70
South Africa,2.9,"1,690,026",,
Venezuela,2.6,"739,962",2.10,0.50
Ivory Coast,2.6,"662,848",2.60,
Nicaragua,2.6,"167,500",2.60,
Solomon Islands,2.5,"17,000",2.50,
Djibouti,2.2,"21,357",1.30,0.90
Kyrgyzstan,2.1,"135,578",1.40,0.70
Kenya,2,"1,059,117",1.90,0.10
Malawi,2,"369,674",2.00,0
Gambia,1.7,"40,810",1.30,0.40
Lesotho,1.7,"36,759",1.70,0
Ethiopia,1.7,"1,920,676",,
Uganda,1.7,"757,664",1.70,
Afghanistan,1.7,"641,295",1.30,0.40
Armenia,1.6,"46,503",1.60,
Iraq,1.6,"613,840",1.10,0.40
Gabon,1.5,"32,105",1.00,0.50
Vietnam,1.5,"1,411,548",1.40,0.10
Mozambique,1.3,"394,930",1.10,0.20
Liberia,1.3,"64,129",1.30,0
Sierra Leone,1.1,"88,523",1.00,0.20
Sudan,1.1,"483,520",1.00,0.20
Nigeria,1.1,"2,225,765",1.00,0.10
Republic of the Congo,1.1,"57,613",,
Tajikistan,1,"97,290",0.90,0.10
Mauritania,1,"44,628",0.80,0.20
Guinea-Bissau,1,"18,706",1.00,
Somalia,0.9,"143,379",0.80,0.10
Zambia,0.8,"147,115",0.80,0
Mali,0.8,"157,129",0.60,0.20
Niger,0.8,"180,987",0.70,0
Yemen,0.8,"221,380",0.80,
Turkmenistan,0.7,"41,993",0.50,0.20
Central African Republic,0.6,"26,541",0.50,0
Papua New Guinea,0.4,"38,176",0.40,
Syria,0.4,"71,519",0.40,
Madagascar,0.4,"97,300",0.40,
Cameroon,0.3,"86,451",0.30,0.10
Vanuatu,0.3,860,0.30,
Benin,0.2,"26,624",0.20,0
South Sudan,0.1,"11,889",0.10,
Burkina Faso,0,"7,881",0,
Congo,0,"31,871",0,0
Chad,0,"5,324",0,
